Lambda	b	b0	p	w
31915.400391	-43.249512	0.000000	-0.043733	-0.100658
31919.500000	-38.249402	0.000000	-0.044913	-0.094450
31923.699219	-31.804371	0.000000	-0.038796	-0.086582
31927.800781	-28.857353	0.000000	-0.041956	-0.084454
31931.900391	-22.218399	0.000000	-0.037765	-0.074948
31936.099609	-20.155850	0.000000	-0.037172	-0.072505
31940.199219	-16.578111	0.000000	-0.040139	-0.067029
31944.300781	-15.255596	0.000000	-0.039552	-0.065236
31948.400391	-12.870646	0.000000	-0.039307	-0.061646
31952.500000	-11.446536	0.000000	-0.037166	-0.059204
31956.599609	-8.535410	0.000000	-0.038152	-0.054938
31960.599609	-8.155849	0.000000	-0.038237	-0.054483
31964.699219	-5.654613	0.000000	-0.034666	-0.049168
31968.800781	-3.613115	0.000000	-0.034366	-0.045521
31972.800781	-1.918891	0.000000	-0.034832	-0.041967
31976.800781	1.664860	0.000000	-0.030145	-0.036086
31980.900391	1.607818	0.000000	-0.030591	-0.036192
31984.900391	6.031814	0.000000	-0.026352	-0.028028
31988.900391	8.914645	0.000000	-0.025354	-0.024240
31992.900391	13.311870	0.000000	-0.018716	-0.015964
31996.900391	15.497569	0.000000	-0.019651	-0.012122
32000.900391	20.267396	0.000000	-0.012565	-0.004195
32004.900391	20.266347	0.000000	-0.006490	-0.001971
32008.900391	21.925845	0.000000	0.000137	0.000908
32012.900391	23.909290	0.000000	0.002230	0.007295
32016.900391	23.022315	0.000000	0.005065	0.003975
32020.800781	26.912922	0.000000	0.007787	0.011128
32024.800781	30.000076	0.000000	0.010231	0.016398
32028.699219	29.295266	0.000000	0.016653	0.018605
32032.699219	28.675395	0.000000	0.021257	0.018016
32036.599609	30.048931	0.000000	0.021942	0.023745
32040.500000	29.117171	0.000000	0.029810	0.023618
32044.400391	26.578984	0.000000	0.028381	0.021616
32048.400391	29.709372	0.000000	0.031009	0.028924
32052.300781	26.946973	0.000000	0.032150	0.026118
32056.199219	31.340079	0.000000	0.036829	0.034392
32060.099609	28.832995	0.000000	0.040788	0.033730
32063.900391	27.556350	0.000000	0.043468	0.032585
32067.800781	27.696453	0.000000	0.043323	0.035275
32071.699219	23.202028	0.000000	0.039698	0.028598
32075.599609	25.324583	0.000000	0.042824	0.032572
32079.400391	21.827168	0.000000	0.043085	0.028989
32083.300781	25.838399	0.000000	0.048354	0.037065
32087.199219	17.439102	0.000000	0.048419	0.024837
32091.000000	16.412625	0.000000	0.048909	0.025373
32094.900391	17.242311	0.000000	0.058376	0.029416
32098.699219	17.540289	0.000000	0.053651	0.032899
32102.500000	18.125894	0.000000	0.060677	0.036472
32106.400391	13.015683	0.000000	0.051031	0.028880
32110.199219	18.622479	0.000000	0.062432	0.043667
32114.000000	15.881933	0.000000	0.054503	0.037178
32117.900391	13.513466	0.000000	0.065610	0.038276
32121.699219	13.606913	0.000000	0.061530	0.040113
32125.500000	11.223458	0.000000	0.063243	0.038959
32129.300781	13.882694	0.000000	0.065080	0.044351
32133.099609	8.204007	0.000000	0.060788	0.035752
32136.900391	5.048039	0.000000	0.060874	0.033765
32140.699219	5.945866	0.000000	0.067786	0.037910
32144.500000	7.272341	0.000000	0.067328	0.045778
32148.300781	-0.643638	0.000000	0.068171	0.035750
32152.099609	5.664440	0.000000	0.060039	0.054220
32155.900391	-17.621257	0.000000	0.054703	0.013354
32159.699219	-16.670853	0.000000	0.051943	0.022403
32163.500000	-28.984052	0.000000	0.038623	0.003513
32167.300781	-13.756321	0.000000	0.055234	0.036063
32171.099609	-26.396896	0.000000	0.023549	0.017573
32174.900391	-9.765172	0.000000	0.045458	0.052379
32178.599609	-49.347518	0.000000	-0.007719	-0.025223
32182.400391	-28.123961	0.000000	0.027227	0.035365
32186.199219	-53.385842	0.000000	-0.015476	-0.005161
32190.000000	-24.000636	0.000000	0.025318	0.059939
32193.800781	-33.201470	0.000000	-0.032718	0.032245
32197.599609	-39.409002	0.000000	-0.017956	0.045046
32201.400391	-32.299100	0.000000	-0.048291	0.037743
4415.859863	-1.953539	0.000000	-0.001988	-0.004346
4421.859863	3.302751	0.000000	0.001541	0.009179
4427.859863	3.510179	0.000000	0.006271	0.009115
4433.850098	8.025646	0.000000	0.012702	0.010694
4439.819824	8.773024	0.000000	0.017083	0.000123
4445.779785	8.361050	0.000000	0.017653	-0.013804
4451.729980	11.703214	0.000000	0.014068	-0.024724
4457.669922	16.624082	0.000000	0.012607	-0.022007
4463.600098	15.256062	0.000000	0.004312	-0.030027
4469.510254	17.547644	0.000000	-0.004206	-0.030047
4475.410156	16.407901	0.000000	-0.010762	-0.035242
4481.299805	16.446151	0.000000	-0.014612	-0.038168
4487.180176	20.814220	0.000000	-0.014593	-0.037892
4493.049805	21.109615	0.000000	-0.009127	-0.040667
4498.899902	22.210189	0.000000	-0.009063	-0.041789
4504.750000	20.591117	0.000000	-0.008628	-0.045396
4510.580078	23.218437	0.000000	-0.008441	-0.039899
4516.399902	24.492972	0.000000	-0.011479	-0.038014
4522.200195	25.389338	0.000000	-0.015988	-0.035177
4528.000000	25.535342	0.000000	-0.019640	-0.030845
4533.779785	25.896098	0.000000	-0.025583	-0.026149
4539.549805	23.772948	0.000000	-0.027816	-0.025288
4545.310059	25.588859	0.000000	-0.029928	-0.019517
4551.049805	25.905365	0.000000	-0.030830	-0.018172
4556.779785	25.953723	0.000000	-0.030689	-0.016050
4562.500000	24.731702	0.000000	-0.032452	-0.015706
4568.209961	23.493579	0.000000	-0.035463	-0.014293
4573.910156	22.637136	0.000000	-0.036702	-0.011030
4579.589844	22.214150	0.000000	-0.035481	-0.007343
4585.260254	22.081954	0.000000	-0.031043	-0.001802
4590.919922	19.724421	0.000000	-0.028949	0.001593
4596.569824	16.855943	0.000000	-0.028318	0.003990
4602.200195	14.068182	0.000000	-0.026555	0.004798
4607.819824	14.272107	0.000000	-0.026348	0.008026
4613.430176	15.144967	0.000000	-0.022012	0.011209
4619.029785	18.239638	0.000000	-0.017606	0.017620
4624.609863	19.833816	0.000000	-0.015494	0.022230
4630.180176	19.852397	0.000000	-0.009861	0.025783
4635.739746	19.601551	0.000000	-0.002901	0.028516
4641.279785	19.817115	0.000000	0.004919	0.032918
4646.819824	19.353147	0.000000	0.015096	0.037212
4652.339844	20.582670	0.000000	0.023122	0.045801
4657.839844	21.196065	0.000000	0.030042	0.053522
4663.339844	21.620454	0.000000	0.036569	0.061362
4668.819824	21.984505	0.000000	0.040959	0.066612
4674.290039	22.083661	0.000000	0.048420	0.069848
4679.739746	23.091676	0.000000	0.056880	0.072442
4685.180176	22.857954	0.000000	0.064653	0.072201
4690.609863	19.143772	0.000000	0.069480	0.065468
4696.029785	11.475929	0.000000	0.067962	0.052665
4701.430176	1.601707	0.000000	0.060583	0.034117
4706.819824	-7.924241	0.000000	0.050596	0.016946
4712.200195	-14.937549	0.000000	0.039936	0.005664
4717.560059	-20.538695	0.000000	0.029991	-0.002249
4722.919922	-25.140251	0.000000	0.023252	-0.007704
4728.250000	-30.441944	0.000000	0.018694	-0.014149
4733.580078	-33.789273	0.000000	0.014489	-0.019214
4738.890137	-35.585709	0.000000	0.012206	-0.021854
4744.189941	-36.838407	0.000000	0.008849	-0.023839
4749.470215	-37.695506	0.000000	0.005602	-0.025763
4754.739746	-38.530174	0.000000	0.003946	-0.028616
4760.000000	-39.237650	0.000000	0.001756	-0.032224
4765.239746	-39.567766	0.000000	-0.001103	-0.036172
4770.470215	-40.036431	0.000000	-0.005330	-0.040843
4775.689941	-39.434128	0.000000	-0.012564	-0.044414
4780.899902	-38.651841	0.000000	-0.019861	-0.046156
4786.089844	-37.246727	0.000000	-0.025968	-0.046195
4791.260254	-35.978965	0.000000	-0.033934	-0.046219
4796.430176	-34.969110	0.000000	-0.039646	-0.046250
4801.580078	-33.919123	0.000000	-0.044117	-0.045975
4806.709961	-32.162611	0.000000	-0.044812	-0.045114
4811.839844	-31.182378	0.000000	-0.046472	-0.044831
4816.939941	-30.522182	0.000000	-0.046974	-0.044835
4822.040039	-30.899775	0.000000	-0.050762	-0.048689
4827.120117	-30.471895	0.000000	-0.053825	-0.050709
4832.189941	-31.061134	0.000000	-0.058333	-0.053189
4837.239746	-29.819617	0.000000	-0.056322	-0.052698
4842.279785	-29.049811	0.000000	-0.058113	-0.053099
4847.310059	-26.589506	0.000000	-0.058940	-0.050372
4852.319824	-22.359854	0.000000	-0.061791	-0.046131
4857.319824	-17.258296	0.000000	-0.064191	-0.039664
4862.299805	-15.349215	0.000000	-0.067634	-0.037772
4867.270020	-14.599699	0.000000	-0.064914	-0.035824
4872.229980	-12.572874	0.000000	-0.061371	-0.032378
4877.169922	-9.859313	0.000000	-0.055464	-0.026786
4882.100098	-5.816377	0.000000	-0.048921	-0.019004
4887.010254	-2.183333	0.000000	-0.044886	-0.012129
4891.910156	-1.847437	0.000000	-0.042270	-0.010584
4896.799805	-2.619368	0.000000	-0.041915	-0.010284
4901.669922	-0.355350	0.000000	-0.044706	-0.007799
4906.529785	0.317125	0.000000	-0.048113	-0.007359
4911.370117	0.787479	0.000000	-0.048619	-0.006310
4916.200195	2.513777	0.000000	-0.045791	-0.003520
4921.010254	1.387718	0.000000	-0.041917	-0.002738
4925.810059	2.333809	0.000000	-0.040191	0.001303
4930.600098	3.922214	0.000000	-0.039900	0.005311
4935.370117	3.798538	0.000000	-0.039544	0.005406
4940.129883	2.432556	0.000000	-0.037996	0.005409
4944.870117	2.890646	0.000000	-0.035768	0.006658
4949.600098	1.450368	0.000000	-0.037547	0.005064
4954.310059	2.771799	0.000000	-0.038050	0.009708
4959.010254	2.311321	0.000000	-0.034959	0.012120
4963.700195	2.356119	0.000000	-0.033737	0.014972
4968.370117	-1.061955	0.000000	-0.035347	0.015246
4973.020020	-0.122153	0.000000	-0.036588	0.020698
4977.660156	-2.176147	0.000000	-0.034553	0.023262
4982.290039	-2.668595	0.000000	-0.027765	0.029710
4986.899902	1.905248	0.000000	-0.019155	0.042033
4991.500000	0.695965	0.000000	-0.017562	0.045392
4996.080078	-5.726460	0.000000	-0.015317	0.042548
41000.601562	-12.814803	0.000000	-0.012161	0.041362
41005.199219	-17.308608	0.000000	0.002612	0.054897
41009.699219	-14.239246	0.000000	0.003932	0.072970
41014.199219	-8.393443	0.000000	0.007735	0.093646
41081.199219	-20.025619	0.000000	0.008148	0.114011
41086.601562	-20.849124	0.000000	0.023646	0.106614
41092.000000	-17.615848	0.000000	0.043917	0.076799
41097.300781	-2.969978	0.000000	0.071356	0.053275
41102.699219	14.753761	0.000000	0.080714	0.027898
41108.101562	22.356106	0.000000	0.088564	0.008786
41113.398437	15.113354	0.000000	0.087789	0.017274
41118.699219	13.864582	0.000000	0.090791	0.016247
41124.000000	11.866138	0.000000	0.091516	0.013799
