Lambda	b	b0	p	w
31279.099609	-107.920529	0.000000	-0.005433	-0.007454
31284.199219	-104.398521	0.000000	-0.002387	-0.004204
31289.199219	-108.474542	0.000000	-0.001171	-0.003922
31294.300781	-109.245226	0.000000	0.001876	-0.005781
31299.300781	-111.294401	0.000000	0.000816	-0.005946
31304.300781	-100.723525	0.000000	0.003677	-0.004848
31309.300781	-98.670830	0.000000	0.001251	-0.007142
31314.300781	-95.607420	0.000000	0.004194	-0.005428
31319.400391	-96.447836	0.000000	0.003286	-0.006860
31324.400391	-100.004260	0.000000	0.003590	-0.008275
31329.300781	-106.336668	0.000000	0.001953	-0.011879
31334.300781	-119.144891	0.000000	0.001180	-0.016516
31339.300781	-121.172770	0.000000	0.000148	-0.020150
31344.300781	-112.579613	0.000000	-0.001207	-0.021240
31349.300781	-108.634486	0.000000	-0.003897	-0.024997
31354.199219	-99.052420	0.000000	-0.006984	-0.030513
31359.199219	-110.221813	0.000000	-0.013493	-0.042199
31364.099609	-95.907970	0.000000	-0.015805	-0.043209
31369.099609	-99.877311	0.000000	-0.017173	-0.045483
31374.000000	-90.638994	0.000000	-0.024004	-0.053166
31379.000000	-73.384833	0.000000	-0.033039	-0.061675
31383.900391	-48.737968	0.000000	-0.045451	-0.071527
31388.800781	-52.195598	0.000000	-0.054463	-0.080249
31393.800781	-65.509589	0.000000	-0.068857	-0.092437
31398.699219	-41.895338	0.000000	-0.076072	-0.093504
31403.599609	14.425815	0.000000	-0.082461	-0.092432
31408.500000	81.613599	0.000000	-0.084758	-0.087907
31413.400391	102.728691	0.000000	-0.090416	-0.088101
31418.300781	83.205565	0.000000	-0.087876	-0.078326
31423.199219	63.315026	0.000000	-0.081528	-0.064706
31428.099609	28.770917	0.000000	-0.075876	-0.057495
31432.900391	-4.997719	0.000000	-0.071591	-0.049326
31437.800781	-46.666859	0.000000	-0.065651	-0.048257
31442.699219	-82.771305	0.000000	-0.061692	-0.046266
31447.500000	-115.040143	0.000000	-0.057233	-0.046095
31452.400391	-130.158654	0.000000	-0.054502	-0.041338
31457.300781	-138.026407	0.000000	-0.053166	-0.041798
31462.099609	-141.080529	0.000000	-0.052769	-0.040504
31466.900391	-133.274761	0.000000	-0.051075	-0.037071
31471.800781	-139.696280	0.000000	-0.052862	-0.038510
31476.599609	-131.094767	0.000000	-0.049742	-0.037283
31481.400391	-131.279358	0.000000	-0.047949	-0.036026
31486.300781	-109.256012	0.000000	-0.042543	-0.027553
31491.099609	-103.456842	0.000000	-0.040136	-0.023118
31495.900391	-89.342033	0.000000	-0.036847	-0.018112
31500.699219	-89.391330	0.000000	-0.034126	-0.019773
31505.500000	-80.266698	0.000000	-0.030123	-0.017966
31510.300781	-81.249263	0.000000	-0.027173	-0.016736
31515.099609	-71.949836	0.000000	-0.024984	-0.014475
31519.900391	-63.429038	0.000000	-0.021504	-0.010388
31524.699219	-44.951570	0.000000	-0.018430	-0.005046
31529.400391	-36.982526	0.000000	-0.015361	-0.001542
31534.199219	-24.025964	0.000000	-0.011896	0.001708
31539.000000	-20.661254	0.000000	-0.007282	0.005061
31543.699219	-16.565630	0.000000	-0.005530	0.003749
31548.500000	-6.509844	0.000000	0.000553	0.011611
31553.199219	2.510403	0.000000	0.004077	0.013654
31558.000000	15.539000	0.000000	0.009876	0.021864
31562.699219	31.153044	0.000000	0.014967	0.025775
31567.400391	33.227923	0.000000	0.017459	0.026455
31572.099609	44.389002	0.000000	0.022123	0.031613
31576.900391	50.388931	0.000000	0.026106	0.037998
31581.599609	59.484925	0.000000	0.030650	0.039981
31586.300781	66.592074	0.000000	0.033482	0.043616
31591.000000	70.407198	0.000000	0.036234	0.045313
31595.699219	69.483164	0.000000	0.034391	0.043532
31600.400391	66.082135	0.000000	0.038351	0.042785
31605.099609	67.897675	0.000000	0.040778	0.046766
31609.699219	83.200546	0.000000	0.044673	0.052164
31614.400391	71.997282	0.000000	0.042059	0.048763
31619.099609	74.877259	0.000000	0.042773	0.046790
