Lambda	b	b0	p	w
31614.400391	5.449607	0.000000	0.024561	0.008148
31619.099609	4.568313	0.000000	0.023730	0.006990
31623.699219	4.584365	0.000000	0.022830	0.008777
31628.400391	4.345088	0.000000	0.023102	0.007798
31633.000000	5.065580	0.000000	0.023547	0.007562
31637.699219	5.835475	0.000000	0.024726	0.008143
31642.300781	8.135574	0.000000	0.025686	0.011929
31646.900391	9.950705	0.000000	0.027040	0.014717
31651.500000	11.534218	0.000000	0.028935	0.016239
31656.199219	13.797440	0.000000	0.028265	0.017291
31660.800781	15.863527	0.000000	0.027128	0.019032
31665.400391	16.893445	0.000000	0.028730	0.021351
31670.000000	16.152716	0.000000	0.027447	0.021080
31674.500000	14.111872	0.000000	0.025327	0.018428
31679.099609	13.208134	0.000000	0.024409	0.019055
31683.699219	10.340933	0.000000	0.021626	0.015820
31688.300781	10.011734	0.000000	0.022553	0.016951
31692.800781	7.707233	0.000000	0.020849	0.013825
31697.400391	5.221023	0.000000	0.018184	0.011336
31701.900391	5.936303	0.000000	0.017304	0.012900
31706.500000	4.957633	0.000000	0.015215	0.009671
31711.000000	2.059938	0.000000	0.010720	0.003597
31715.500000	-0.396796	0.000000	0.009443	0.000243
31720.000000	-0.697346	0.000000	0.008319	-0.000370
31724.599609	-2.047549	0.000000	0.006048	-0.003553
31729.099609	-0.133549	0.000000	0.005668	-0.001626
31733.599609	0.839573	0.000000	0.005177	-0.000975
31738.099609	4.339895	0.000000	0.010383	0.005931
31742.500000	5.060463	0.000000	0.009209	0.005475
31747.000000	5.082786	0.000000	0.011471	0.006966
31751.500000	4.606443	0.000000	0.012119	0.007276
31755.900391	5.358013	0.000000	0.013740	0.006596
31760.400391	4.913421	0.000000	0.012237	0.003896
31764.800781	4.295427	0.000000	0.013346	0.003880
31769.300781	3.722435	0.000000	0.013740	0.004119
31773.699219	3.639332	0.000000	0.013643	0.003584
31778.099609	3.026053	0.000000	0.014277	0.003106
31782.500000	3.083280	0.000000	0.016101	0.005030
31786.900391	2.289627	0.000000	0.018407	0.005846
31791.300781	0.596525	0.000000	0.017469	0.005341
31795.699219	2.209147	0.000000	0.021918	0.009873
31800.099609	1.611866	0.000000	0.021901	0.009220
31804.500000	-0.001961	0.000000	0.024583	0.009349
31808.900391	-1.761648	0.000000	0.025760	0.008476
31813.199219	-1.967533	0.000000	0.028436	0.010249
31817.599609	-3.480488	0.000000	0.029952	0.009068
31821.900391	-1.201909	0.000000	0.031152	0.013547
31826.199219	-3.844605	0.000000	0.032267	0.011827
31830.599609	-5.232268	0.000000	0.030766	0.009054
31834.900391	-5.554920	0.000000	0.032633	0.010899
31839.199219	-6.165949	0.000000	0.034522	0.010816
31843.500000	-4.437841	0.000000	0.035518	0.013443
31847.800781	-2.648631	0.000000	0.031933	0.012704
31852.099609	-2.373965	0.000000	0.033841	0.015049
31856.400391	0.118481	0.000000	0.029003	0.015812
31860.599609	0.714661	0.000000	0.026090	0.013185
31864.900391	4.003359	0.000000	0.021293	0.013150
31869.099609	2.225860	0.000000	0.011601	0.004240
31873.400391	6.798780	0.000000	0.003188	0.004495
31877.599609	11.341731	0.000000	-0.004000	0.004963
31881.900391	14.185595	0.000000	-0.011694	0.004275
31886.099609	12.729735	0.000000	-0.019111	0.000408
31890.300781	6.697166	0.000000	-0.022674	-0.004848
31894.500000	-5.538074	0.000000	-0.029223	-0.017533
31898.699219	-23.595738	0.000000	-0.033853	-0.032083
31902.900391	-40.885847	0.000000	-0.034787	-0.045949
31907.000000	-50.575255	0.000000	-0.034116	-0.049828
31911.199219	-51.206637	0.000000	-0.032541	-0.048323
31915.400391	-42.648780	0.000000	-0.027859	-0.035358
31919.500000	-32.893663	0.000000	-0.024941	-0.026077
31923.699219	-23.099490	0.000000	-0.021950	-0.014633
31927.800781	-14.749385	0.000000	-0.020786	-0.008763
31931.900391	-4.989047	0.000000	-0.017367	0.002350
31936.099609	-0.844997	0.000000	-0.015411	0.005963
31940.199219	3.686959	0.000000	-0.017501	0.007641
31944.300781	5.734991	0.000000	-0.016833	0.007994
31948.400391	8.399902	0.000000	-0.016752	0.010113
31952.500000	9.918468	0.000000	-0.014670	0.011117
31956.599609	11.986055	0.000000	-0.017188	0.010218
31960.599609	11.913101	0.000000	-0.017439	0.008487
31964.699219	14.479255	0.000000	-0.015934	0.010757
31968.800781	14.390604	0.000000	-0.017841	0.008742
31972.800781	15.341616	0.000000	-0.018516	0.008276
31976.800781	18.232310	0.000000	-0.016854	0.011429
31980.900391	19.189807	0.000000	-0.017627	0.009582
31984.900391	19.774827	0.000000	-0.017423	0.009887
31988.900391	23.196830	0.000000	-0.017827	0.011542
31992.900391	25.093139	0.000000	-0.016641	0.013869
31996.900391	26.198129	0.000000	-0.020356	0.012298
32000.900391	27.630962	0.000000	-0.018560	0.014840
32004.900391	28.192239	0.000000	-0.019567	0.015040
32008.900391	29.015938	0.000000	-0.016729	0.018252
32012.900391	28.623957	0.000000	-0.020974	0.016138
32016.900391	28.335442	0.000000	-0.018964	0.015991
32020.800781	30.954134	0.000000	-0.019037	0.018514
32024.800781	30.895398	0.000000	-0.020726	0.017320
32028.699219	29.322698	0.000000	-0.023909	0.015897
32032.699219	29.465549	0.000000	-0.021928	0.015740
32036.599609	28.245972	0.000000	-0.026588	0.013941
32040.500000	28.084431	0.000000	-0.025220	0.015616
32044.400391	24.647127	0.000000	-0.029588	0.011185
32048.400391	25.624797	0.000000	-0.031301	0.010450
32052.300781	22.829704	0.000000	-0.033331	0.007378
32056.199219	24.911531	0.000000	-0.034318	0.008507
32060.099609	20.185863	0.000000	-0.035692	0.003917
32063.900391	19.361908	0.000000	-0.035917	0.002965
32067.800781	17.367324	0.000000	-0.040627	-0.001074
32071.699219	12.009386	0.000000	-0.043554	-0.007744
32075.599609	12.111422	0.000000	-0.046105	-0.010679
32079.400391	9.427231	0.000000	-0.046880	-0.011448
32083.300781	9.005932	0.000000	-0.049077	-0.012084
32087.199219	4.192960	0.000000	-0.046315	-0.015233
32091.000000	1.007180	0.000000	-0.049523	-0.020243
32094.900391	1.249225	0.000000	-0.046211	-0.016027
32098.699219	-2.272508	0.000000	-0.053140	-0.023243
32102.500000	-2.474896	0.000000	-0.053466	-0.022108
32106.400391	-9.123408	0.000000	-0.058009	-0.033711
32110.199219	-6.347856	0.000000	-0.061754	-0.027248
32114.000000	-8.196879	0.000000	-0.060187	-0.032855
32117.900391	-11.759949	0.000000	-0.059090	-0.031688
32121.699219	-12.709309	0.000000	-0.062835	-0.034672
32125.500000	-16.375846	0.000000	-0.070022	-0.041214
32129.300781	-14.212106	0.000000	-0.072397	-0.039973
32133.099609	-20.551756	0.000000	-0.073477	-0.048020
32136.900391	-21.614531	0.000000	-0.075392	-0.049454
32140.699219	-21.074144	0.000000	-0.074970	-0.047396
32144.500000	-23.144703	0.000000	-0.079910	-0.048395
32148.300781	-27.052901	0.000000	-0.082805	-0.052328
32152.099609	-28.828423	0.000000	-0.089941	-0.055889
32155.900391	-41.109794	0.000000	-0.092357	-0.071629
32159.699219	-41.313186	0.000000	-0.096821	-0.067012
32163.500000	-53.273049	0.000000	-0.096600	-0.079551
32167.300781	-52.954511	0.000000	-0.098232	-0.073032
32171.099609	-65.320250	0.000000	-0.101932	-0.093458
32174.900391	-60.682133	0.000000	-0.095238	-0.079297
32178.599609	-86.563024	0.000000	-0.107101	-0.120266
